ANP,SECTOR,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,PROCEDENCIA,EDAD,FECHA,VISITAS_E1,VISITAS_E2A3,VISITAS_E3A30,FECHA_CORTE,TIPO_ESTADIA_PREDOMINANTE,ANIO,MES
SN los Manglares de Tumbes,No especificado,TUMBES,ZARUMILLA,ZARUMILLA,240301.0,NACIONAL,INFANTE,20220430,2,0,0,20240527,1 día,2022,4
SN Lagunas de Mejía,No especificado,AREQUIPA,ISLAY,DEAN VALDIVIA,40703.0,NACIONAL,INFANTE,20230531,1,0,0,20240527,1 día,2023,5
SN de Huayllay,No especificado,PASCO,PASCO,HUAYLLAY,190104.0,LOCAL,ADULTO,20220831,2951,0,0,20240527,1 día,2022,8
PN del Río Abiseo,No especificado,SAN MARTIN,MARISCAL CACERES,HUICUNGO,220603.0,EXTRANJERO,ADULTO,20230131,0,6,0,20240527,2 a 3 días,2023,1
SH Machupicchu,Ruta 03,CUSCO,URUBAMBA,MACHUPICCHU,81304.0,EXTRANJERO,ADULTO,20230930,0,0,56,20240527,3 a 30 días,2023,9
SN de Ampay,No especificado,APURIMAC,ABANCAY,TAMBURCO,30109.0,NACIONAL,ADULTO,20220331,34,0,0,20240527,1 día,2022,3
PN Yanachaga-Chemillén,Huampal,PASCO,OXAPAMPA,PALCAZU,190304.0,NACIONAL,ADULTO,20220228,22,2,0,20240527,1 día,2022,2
SH Bosque de Pomac,No especificado,LAMBAYEQUE,FERREÑAFE,PITIPO,140205.0,LOCAL,MENOR,20220731,342,0,0,20240527,1 día,2022,7
RN de Paracas,No especificado,ICA,No especificado,No especificado,0.0,LOCAL,MENOR,20231031,535,0,0,20240527,1 día,2023,10
PN Huascarán,Ulta (Pico Mateo),ANCASH,HUARAZ,INDEPENDENCIA,20105.0,NACIONAL,ADULTO,20231031,415,2,0,20240527,1 día,2023,10
RN Tambopata,Sandoval,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,170101.0,NACIONAL,ADULTO,20220831,1289,41,0,20240527,1 día,2022,8
"RN Sistema de Islas, Islotes y Puntas Guaneras",Islas Cavinza e Islotes Palomino,No especificado,No especificado,No especificado,0.0,EXTRANJERO,MENOR,20220331,50,0,0,20240527,1 día,2022,3
RN Pacaya-Samiria,Nauta Caño,LORETO,LORETO,PARINARI,160302.0,EXTRANJERO,ADULTO,20230331,11,40,0,20240527,2 a 3 días,2023,3
SN de Calipuy,Mirador Puya Raimondi,LA LIBERTAD,SANTIAGO DE CHUCO,SANTIAGO DE CHUCO,131001.0,NACIONAL,ADULTO,20220630,101,0,1,20240527,1 día,2022,6
SN los Manglares de Tumbes,No especificado,TUMBES,ZARUMILLA,ZARUMILLA,240301.0,EXTRANJERO,ADULTO,20221231,10,0,0,20240527,1 día,2022,12
